CIRCUITO,LOCALIDAD
1,RESISTENCIA
2,RESISTENCIA
3,RESISTENCIA
4,RESISTENCIA
6,RESISTENCIA
9,BARRANQUERAS
10,BARRANQUERAS
12,PUERTO VILELAS
14,RESISTENCIA
15,RESISTENCIA
17,RESISTENCIA
18,RESISTENCIA
20,RESISTENCIA
21,RESISTENCIA
23,FONTANA
24,RESISTENCIA
25,RESISTENCIA
26,BASAIL
27,RESISTENCIA
28,COLONIA BENITEZ
29,MARGARITA BELÉN
30,MARGARITA BELÉN
31,LA EDUVIGIS
32,PUERTO TIROL
33,COLONIA POPULAR
34,LAGUNA BLANCA
35,PUERTO TIROL
36,COTE LAI
37,LAPACHITO
38,MAKALLE
39,LA VERDE
40,LA ESCONDIDA
41,COLONIA ELISA
42,CAPITAN SOLARI
43,COLONIAS UNIDAS
44,LAS GARCITAS
45,PRESIDENCIA DE LA PLAZA
46,PRESIDENCIA DE LA PLAZA
47,PRESIDENCIA DE LA PLAZA
48,PRESIDENCIA DE LA PLAZA
49,ISLA DEL CERRITO
50,LA LEONESA
51,LA LEONESA
52,LAS PALMAS
53,LA LEONESA
54,GENERAL VEDIA
56,GENERAL VEDIA
57,LA LEONESA
58,LA EDUVIGIS
59,LA EDUVIGIS
60,PAMPA ALMIRON
61,GENERAL SAN MARTIN
62,GENERAL SAN MARTIN
63,GENERAL SAN MARTIN
64,PRESIDENCIA ROCA
65,PAMPA DEL INDIO
66,LAGUNA LIMPIA
67,CIERVO PETISO
68,COTE LAI
69,CHARADAI
70,CHARADAI
71,CHARADAI
72,CHARADAI
73,VILLA BERTHET
74,VILLA BERTHET
75,SAMUHU
76,ENRIQUE URIEN
77,VILLA ANGELA
78,VILLA ANGELA
79,VILLA ANGELA
80,CORONEL DU GRATY
81,VILLA ANGELA
82,VILLA ANGELA
83,SAN BERNARDO
84,SAN BERNARDO
85,LA CLOTILDE
86,LA TIGRA
87,PRESIDENCIA ROQUE SAENZ PEÑA
88,PRESIDENCIA ROQUE SAENZ PEÑA
89,PRESIDENCIA ROQUE SAENZ PEÑA
90,PRESIDENCIA ROQUE SAENZ PEÑA
91,PRESIDENCIA ROQUE SAENZ PEÑA
92,PRESIDENCIA ROQUE SAENZ PEÑA
93,PRESIDENCIA ROQUE SAENZ PEÑA
94,PRESIDENCIA ROQUE SAENZ PEÑA
95,PRESIDENCIA ROQUE SAENZ PEÑA
96,PRESIDENCIA ROQUE SAENZ PEÑA
97,PRESIDENCIA ROQUE SAENZ PEÑA
98,QUITILIPI
99,QUITILIPI
100,QUITILIPI
101,QUITILIPI
102,MACHAGAI
103,MACHAGAI
104,MACHAGAI
105,MACHAGAI
106,MACHAGAI
107,TRES ISLETAS
108,TRES ISLETAS
109,TRES ISLETAS
110,AVIA TERAI
111,NAPENAY
112,AVIA TERAI
113,CAMPO LARGO
114,CAMPO LARGO
115,CORZUELA
116,CORZUELA
117,LAS BREÑAS
118,LAS BREÑAS
119,CHARATA
120,CHARATA
121,GENERAL PINEDO
122,GENERAL PINEDO
123,GENERAL PINEDO
124,GENERAL CAPDEVILA
125,GANCEDO
126,HERMOSO CAMPO
127,HERMOSO CAMPO
128,SANTA SYLVINA
129,CHOROTIS
130,CONCEPCION DEL BERMEJO
131,PAMPA DEL INFIERNO
132,LOS FRENTONES
133,TACO POZO
136,JUAN JOSE CASTELLI
137,JUAN JOSE CASTELLI
139,EL ESPINILLO
0117A,LAS BREÑAS
0118A,LAS BREÑAS
0011A,BARRANQUERAS
0011B,BARRANQUERAS
0132A,LOS FRENTONES
0134A,FUERTE ESPERANZA
0134B,EL SAUZALITO
0134C,EL SAUZALITO
0134D,MISION NUEVA POMPEYA
0135A,FUERTE ESPERANZA
0135B,MIRAFLORES
0135C,MIRAFLORES
0138A,JUAN JOSE CASTELLI
0138B,VILLA RIO BERMEJITO
0013A,RESISTENCIA
0013B,RESISTENCIA
0016A,RESISTENCIA
0016B,RESISTENCIA
0016C,RESISTENCIA
0019A,RESISTENCIA
0019B,RESISTENCIA
0022A,FONTANA
0022B,FONTANA
0028A,COLONIA BENITEZ
0055A,PUERTO BERMEJO
0055B,PUERTO EVA PERON
0005A,RESISTENCIA
0005B,RESISTENCIA
0007A,RESISTENCIA
0007B,RESISTENCIA
0008A,RESISTENCIA
0008B,RESISTENCIA
